node,AreaWatershed,PerimeterWatershed,GeometricalFactor,Centroid_X,Centroid_Y,MeanAltitude,StdAltitude,MeanSlope,StdSlope,MeanDirSlope,StdDirSlope,0Area,0MeanAltitude,0MeanDir,0MeanSlope,1Area,1MeanAltitude,1MeanDir,1MeanSlope,2Area,2MeanAltitude,2MeanDir,2MeanSlope,3Area,3MeanAltitude,3MeanDir,3MeanSlope,4Area,4MeanAltitude,4MeanDir,4MeanSlope
,803.68,133167.289,0.755,465708.037,6977764.704,3959.21296103581,419.000478997671,16.6798906334533,9.19077334477042,188.235724075666,100.950474409892,-1.0,-1.0,-1.0,-1.0,0.19625111609,4430.12719298,202.361494543,12.6695716842,-1.0,-1.0,-1.0,-1.0,11.00526241167,4436.431551568461,224.76775872770196,18.84474992173596,2.60426054569,4507.19378067923,209.26111071734613,18.802211281703844
,924.25,133781.733,0.806,459948.778,6945389.568,3905.63635446732,524.067790507958,19.0934501749707,9.92734361527242,193.781388023967,104.978342488067,-1.0,-1.0,-1.0,-1.0,0.0695648324,4744.26259214,272.4648988895,18.9054038771,0.12286336691,5690.8701271175005,223.471904596,15.81489065996,23.426098404070004,4693.496690328556,230.14009295423887,22.97265769812389,1.6397593576699996,4700.986276604624,231.70954187231607,22.089479124101505
,880.68,151948.768,0.693,474930.643,6915726.277,4252.98455341014,484.824104310192,16.5421438325733,9.30763940266406,192.92135167932,98.8839595665886,-1.0,-1.0,-1.0,-1.0,1.20664285728,4654.661522866667,189.20499955533333,16.401917847,0.5687847138600001,5573.256123183636,154.6033851840909,16.37850337201182,68.50149396141,4761.299456950156,222.1356509318646,22.205383555666923,2.629593696,4712.265511962391,222.3135411040063,18.42258231570811
,734.13,158384.586,0.607,456147.165,6907375.392,3886.57782991717,496.817338725662,21.3028510264399,9.88489350556133,182.436605274802,105.175567632401,0.02826706542,5202.38235294,156.383939631,15.2076663971,0.30509753636,4448.719004461112,218.1780113561111,23.12026782458889,0.13003684222,5224.0359375,136.43413231856667,21.95100871913333,44.47599771085,4554.734338874857,198.1234754252629,25.04150389801643,1.06743148891,4523.7746028716665,211.8966286244479,22.36749882835
,823.41,153464.064,0.663,427320.957,6916467.786,2892.07954356675,564.39644090318,22.9523729908202,9.43870937921203,198.849994114483,104.645439847353,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,611.93,122997.455,0.713,439337.829,6905160.531,3481.24768850074,457.814788911648,20.6968852518805,9.30623709463461,193.827685473602,102.182743070537,-1.0,-1.0,-1.0,-1.0,0.09499843431,4504.53846154,183.7753016215,15.50921417425,-1.0,-1.0,-1.0,-1.0,9.83179947358,4554.643859560434,214.5399588633304,23.52787453958696,0.0612723000099999,4567.073140495455,175.32533570754546,22.362244847418182
,366.85,103015.965,0.659,442345.09,6881428.283,3834.48568877236,726.828313023341,23.710630566082,9.97028208499864,196.637986389404,106.62578210985,0.01702461869,5183.23809524,161.758730934,18.8001030684,4.61531516671,4436.911836140975,179.18033684446098,18.73321415644366,0.15447537842,5162.046000393333,179.29545160299998,25.479537505600003,25.67738559483,4704.344363357475,216.91002676287573,27.03434148242727,1.3722820768700004,4459.410512728095,212.3334053507016,23.89218273544881
,470.61,110386.152,0.697,430970.679,6873966.859,3411.46169026026,882.343728954972,23.0748291270981,10.1623882115414,197.08963173712,109.317621675688,0.12019887168,5139.0141844,230.300002203,11.5838914837,4.13834535244,4453.741153164583,183.33544385717497,18.195316453253543,7.3604567799,5455.811468753846,167.03939479446157,17.408214065508464,12.187782605210002,4524.912405252425,186.3834459017515,23.23559060594242,1.31298264429,4352.35004620795,182.3885065528718,19.597221793136026
,413.19,133909.171,0.538,426120.148,6858137.503,4063.55913266608,884.115313606757,25.1594215277339,10.8009835816455,179.251605631541,107.044138157048,0.31830878208,5064.419380285,171.819177415075,16.210544429149998,5.110277272320002,4427.939336927101,170.82217777336234,18.934784124802896,9.87559889733,5248.28455650174,179.56785705152177,20.29603278043913,89.12908294757001,4778.703511019574,203.47978300012548,21.368789386570214,1.38226477459,4439.505054668751,206.6493177725357,24.201247501156875
,171.44,58099.822,0.799,413097.383,6888210.469,2281.27212623234,636.76134520525,25.14366628746,10.3958452924799,203.039648484122,102.160666940609,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
,728.16,126494.927,0.756,412679.426,6848232.428,3818.43177739385,605.610912981283,21.2689960081635,9.43472652911796,187.308183398836,106.163711409742,0.5999763442299999,5019.511058238,242.39355523860004,16.03235523572,0.33074848438,4363.3895892275,266.2431437125,20.6920313977,8.09973857606,5208.487220533159,166.63099969805262,18.903622751410527,95.43228066878,4485.859695735714,216.59876787232332,22.87191237528701,0.89654258663,4389.97048471093,215.89987332218837,22.852437519956517
,485.19,120373.919,0.649,404889.019,6877842.74,2696.82722687023,675.266641207032,21.4671110535937,10.4339585128787,180.187536559682,110.856580123397,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.57501958668,4178.40382572,297.295374691,18.9897213068,-1.0,-1.0,-1.0,-1.0
